,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
123,Xander Schauffele,2018,96,70.486,0,5.0,1081.0,59.77,304.9,65.59,57.81,0.196,0.24,0.235,0.644,"$4,047,538 "
124,Dustin Johnson,2018,77,68.698,3.0,10.0,2717.0,59.46,314.0,70.57,62.5,0.385,0.919,0.829,2.372,"$8,457,352 "
125,Matt Jones,2018,70,71.112,0,0,264.0,59.38,304.5,66.49,60.16,-0.034,0.333,-0.386,0.104,"$538,681 "
126,Tiger Woods,2018,68,69.35,0,5.0,1162.0,59.35,303.6,67.4,64.16,0.266,0.061,0.883,1.596,"$5,443,841 "
127,Billy Hurley III,2018,70,71.715,0,0,73.0,59.24,284.0,63.02,54.93,0.025,-0.696,-0.17,-0.702,"$145,725 "
128,Jon Rahm,2018,71,69.958,1.0,5.0,1430.0,59.2,308.9,70.12,57.18,-0.151,0.817,0.047,0.889,"$3,992,678 "
129,Ryan Palmer,2018,69,71.031,0,2.0,500.0,59.11,305.2,65.61,55.38,-0.528,0.235,0.236,-0.231,"$1,484,445 "
130,Harold Varner III,2018,91,70.971,0,3.0,474.0,59.02,308.2,67.79,58.14,-0.024,0.204,-0.076,0.125,"$1,223,064 "
131,Harris English,2018,84,71.162,0,2.0,383.0,58.99,302.4,63.32,57.86,0.222,-0.219,-0.297,-0.184,"$799,450 "
132,Greg Chalmers,2018,56,72.531,0,1.0,133.0,58.9,282.8,56.94,52.85,0.79,-0.69,-1.192,-1.266,"$288,023 "
133,Stephan Jaeger,2018,81,71.356,0,0,211.0,58.76,299.2,67.11,56.76,-0.144,0.045,-0.166,-0.09,"$422,260 "
134,Jonathan Byrd,2018,70,71.398,0,0,147.0,58.59,291.7,68.19,58.31,-0.106,-0.542,0.043,-0.266,"$267,055 "
135,Keith Mitchell,2018,99,70.92,0,4.0,659.0,58.59,312.6,69.42,56.55,-0.504,0.706,-0.128,-0.018,"$1,641,260 "
136,Martin Piller,2018,79,71.929,0,2.0,371.0,58.51,292.2,60.39,57.74,0.119,-0.248,-0.811,-1.127,"$847,304 "
137,Justin Thomas,2018,91,69.118,3.0,8.0,2634.0,58.41,311.8,68.77,62.47,0.272,0.408,0.844,1.835,"$8,694,821 "
138,Brett Stegmaier,2018,67,71.191,0,0,149.0,58.38,295.4,70.31,56.44,0.401,-0.135,0.078,0.048,"$305,607 "
139,Charley Hoffman,2018,87,70.521,0,0,515.0,58.34,299.5,66.53,56.22,0.026,0.254,0.216,0.425,"$1,400,637 "
140,Jason Day,2018,75,69.603,2.0,5.0,1771.0,58.32,310.0,65.28,62.35,0.77,0.176,-0.14,1.285,"$5,087,461 "
141,Bubba Watson,2018,90,70.384,3.0,5.0,1879.0,58.27,313.1,68.21,56.64,0.001,0.78,0.005,0.555,"$5,793,748 "
142,Jason Kokrak,2018,99,70.444,0,4.0,700.0,58.06,309.5,70.37,55.11,0.022,0.36,0.257,0.539,"$1,794,431 "
143,Jhonattan Vegas,2018,92,71.275,0,1.0,394.0,57.91,303.6,65.17,58.6,-0.059,0.294,-0.081,0.03,"$1,137,444 "
144,Adam Schenk,2018,86,71.37,0,1.0,239.0,57.67,305.5,67.92,54.55,0.13,0.073,-0.262,-0.15,"$474,923 "
145,Stewart Cink,2018,87,70.44,0,3.0,758.0,57.6,298.1,68.58,55.69,-0.345,0.057,0.698,0.465,"$1,887,208 "
146,Matt Atkins,2018,56,72.251,0,0,44.0,57.5,301.4,63.46,57.6,-0.198,0.134,-1.039,-1.129,"$89,104 "
147,Talor Gooch,2018,78,71.149,0,0,308.0,57.31,298.9,63.58,59.53,0.031,-0.322,0.075,-0.163,"$654,200 "
148,Bill Haas,2018,76,71.028,0,1.0,262.0,57.27,296.2,64.79,60.34,-0.059,-0.177,-0.052,0.079,"$638,414 "
149,J.B. Holmes,2018,77,70.789,0,3.0,640.0,57.13,306.1,65.26,57.14,-0.207,0.565,0.159,0.549,"$1,595,942 "
150,Cameron Smith,2018,85,70.517,0,5.0,821.0,57.03,298.4,63.18,61.12,0.115,-0.148,0.034,0.219,"$3,622,607 "
151,Tyrone Van Aswegen,2018,101,71.243,0,1.0,364.0,56.98,290.3,65.23,58.08,-0.01,-0.493,-0.008,-0.323,"$763,584 "
152,Jamie Lovemark,2018,92,70.734,0,3.0,576.0,56.92,303.2,64.65,61.07,0.01,-0.101,-0.04,0.388,"$1,377,286 "
153,Peter Malnati,2018,87,70.841,0,0,226.0,56.86,290.9,62.99,61.3,0.619,-0.372,-0.257,0.244,"$420,001 "
